hotelid,roomamenities,roomtype
2,"High Speed Wireless Internet (wifi), Bathroom, Free toiletries,",Single Room
2,"High Speed Wireless Internet (wifi), Air conditioning, Bathroom, Free toiletries, LCD / LED Television with Satellite Channels,",Double Room
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Wooden/parqueted flooring, Private entrance, Umbrella, Fan, DVD/CD player, Locker,",Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, Daily newspaper, Bathrobes, Fireplace, Air purifier, Slippers, TV, Pets allowed in room,",Quad Room
3,"Free toiletries, Shower, Hand Towel, Bathroom, Daily newspaper, Bathrobes, Fireplace, Air purifier, Slippers, TV, Pets allowed in room,",Quad Room
3,"Free toiletries, Shower, Hand Towel, Bathroom, Daily newspaper, Bathrobes, Fireplace, Air purifier, Slippers, TV, Pets allowed in room,",Quad Room
3,"Free toiletries, Shower, Hand Towel, Bathroom, Daily newspaper, Bathrobes, Fireplace, Air purifier, Slippers, TV, Pets allowed in room,",Quad Room
3,"Free toiletries, Shower, Hand Towel, Bathroom, Daily newspaper, Bathrobes, Fireplace, Air purifier, Slippers, TV, Pets allowed in room,",Quad Room
3,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Umbrella, Wooden/parqueted flooring, Mosquito net, Desk, Towels,",President Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Umbrella, Wooden/parqueted flooring, Mosquito net, Desk, Towels,",President Suite
3,"Free toiletries, Shower, Hand Towel, Bathroom, High floor, Umbrella, Wooden/parqueted flooring, Mosquito net, Desk, Towels,",President Suite
