hotelid,hotelname,hoteltype,destination
2,Silver Airport Hotel,Airport hotel,Kathmandu
3,Mediteran Bungalow Galeb,Service Apartments,Kathmandu
4,Hotel Polonia,Casino Hotels,Kathmandu
5,Rifugio Sass Bece,Business Hotels,Kathmandu
6,Madalena Hotel,Self-Catering Hotels,Kathmandu
7,Pension Morenfeld,Casino Hotels,Kathmandu
8,Boutique Hotel Three Lilies,Casino Hotels,Kathmandu
9,MPM Hotel Sport,Service Apartments,Kathmandu
10,Family Hotel Santo Bansko,Casino Hotels,Kathmandu
11,Hotel Dogana Vecchia,Airport hotel,Kathmandu
12,Hotel Krone,Self-Catering Hotels,Kathmandu
13,Hotel Moura,Resorts,Kathmandu
14,Rena's Suites,Self-Catering Hotels,Kathmandu
15,Hotel Seasons,Casino Hotels,Kathmandu
16,Breza Hotel,Business Hotels,Kathmandu
17,Nautica Bay Hotel,Business Hotels,Kathmandu
18,Rosslyn Dimyat Hotel Varna,Casino Hotels,Kathmandu
19,Casa Karina Bansko - Half Board & All Inclusive,Airport hotel,Kathmandu
20,Le Trente,Business Hotels,Kathmandu
21,Semeli Hotel,Service Apartments,Kathmandu
22,Camping La Promenade Sweet Flower,Business Hotels,Kathmandu
23,Hotel Karyatides,Airport hotel,Kathmandu
24,Hotel Liliana Andora,Casino Hotels,Kathmandu
25,Futura Hotel,Business Hotels,Kathmandu
26,At Yetty's Place Vintage Apartment Hotel,Bed and Breakfast (B&B),Kathmandu
27,Hotel Ai Due Principi,Self-Catering Hotels,Kathmandu
28,The A Hotel by Mykonos Arhontiko,Resorts,Kathmandu
29,Genusshotel Fichtenhof,Service Apartments,Kathmandu
30,Amazing View Hotel Apartments,Bed and Breakfast (B&B),Kathmandu
31,Hotel Legnano,Resorts,Kathmandu
32,Porto Mykonos Hotel,Resorts,Kathmandu
33,Dimitra Hotel,Bed and Breakfast (B&B),Kathmandu
34,Dwor Kombornia Hotel&SPA,Suite Hotels,Kathmandu
35,Elounda Ilion Hotel,Airport hotel,Kathmandu
36,Matala Bay Hotel & Apartments,Business Hotels,Kathmandu
37,Favignana Hotel,Business Hotels,Kathmandu
38,Maistrali Hotel,Suite Hotels,Kathmandu
39,Margarita Hotel,Suite Hotels,Kathmandu
40,Elkaza Villa,Suite Hotels,Kathmandu
41,Sellada Beach Hotel,Self-Catering Hotels,Kathmandu
42,Hotel Stella Di Mare,Resorts,Kathmandu
43,Hotel Maryo,Airport hotel,Kathmandu
44,Hotel Motel Visconteo,Business Hotels,Kathmandu
45,Yialos Beach Hotel,Self-Catering Hotels,Kathmandu
46,Sofia Hotel,Suite Hotels,Kathmandu
47,Hugo's Boutique Hotel - Adults Only,Self-Catering Hotels,Kathmandu
48,Manos Small World Hotel,Bed and Breakfast (B&B),Kathmandu
49,Blue Diamond Bay,Airport hotel,Kathmandu
50,Anassa Deluxe Suites,Casino Hotels,Kathmandu
51,Hotel Corte Rosada Resort & Spa,Business Hotels,Kathmandu
52,Galatia Villas Hotel,Self-Catering Hotels,Kathmandu
53,Hotel Jagerklause,Service Apartments,Kathmandu
54,Hotel Paris Nord,Self-Catering Hotels,Kathmandu
55,Hotel Olympia,Airport hotel,Kathmandu
56,Aegean Houses,Bed and Breakfast (B&B),Kathmandu
57,L'Hostellerie des Lacs,Self-Catering Hotels,Kathmandu
58,Hotel Clorinda,Casino Hotels,Kathmandu
59,Hotel Elisa,Business Hotels,Kathmandu
60,Albergo Franzone,Casino Hotels,Kathmandu
61,Hotel Gardenia,Suite Hotels,Kathmandu
62,Hotel Il Pino,Suite Hotels,Kathmandu
63,Chateau de Pourtales,Resorts,Kathmandu
64,Hotel Argegno,Self-Catering Hotels,Kathmandu
65,Hotel Villa Tedaldi,Suite Hotels,Kathmandu
66,Hotel & Restaurant Waldschloss,Casino Hotels,Kathmandu
